"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Nov 16 17:38:04 CET 2022","Wed Nov 16 17:38:04 CET 2022","57","","Should open App personalizada page and check","","Should open App personalizada page and check","Sponsors list number of elements is 9","Sponsors list number of elements is 9",""
"failed","Wed Nov 16 17:37:17 CET 2022","Wed Nov 16 17:37:18 CET 2022","909","","Should open Alquiler page and check","","Should open Alquiler page and check","Top menu each inner dropdown element's text corresponds 'Inscripciones'","Top menu each inner dropdown element's text corresponds 'Inscripciones'",""
"passed","Wed Nov 16 17:37:42 CET 2022","Wed Nov 16 17:37:42 CET 2022","76","","Should open App personalizada page and check","","Should open App personalizada page and check","Top menu each inner dropdown element's text corresponds 'Historia'","Top menu each inner dropdown element's text corresponds 'Historia'",""
"passed","Wed Nov 16 17:36:09 CET 2022","Wed Nov 16 17:36:09 CET 2022","62","","Should open App personalizada page and check","","Should open App personalizada page and check","App personalizada page main image is displayed","App personalizada page main image is displayed",""
"passed","Wed Nov 16 17:35:49 CET 2022","Wed Nov 16 17:35:49 CET 2022","45","","Should open Albumes page and check","","Should open Albumes page and check","Top social links number of elements","Top social links number of elements",""
"passed","Wed Nov 16 17:35:20 CET 2022","Wed Nov 16 17:35:21 CET 2022","124","","Should open Albumes page and check","","Should open Albumes page and check","Top menu each inner dropdown element's text corresponds 'Clases Pádel'","Top menu each inner dropdown element's text corresponds 'Clases Pádel'",""
"passed","Wed Nov 16 17:35:20 CET 2022","Wed Nov 16 17:35:20 CET 2022","95","","Should open Albumes page and check","","Should open Albumes page and check","Top menu each inner dropdown element's text corresponds 'Historia'","Top menu each inner dropdown element's text corresponds 'Historia'",""
"passed","Wed Nov 16 17:37:43 CET 2022","Wed Nov 16 17:37:43 CET 2022","73","","Should open App personalizada page and check","","Should open App personalizada page and check","Top menu each inner dropdown element's text corresponds 'Partidos'","Top menu each inner dropdown element's text corresponds 'Partidos'",""
"failed","Wed Nov 16 17:37:19 CET 2022","Wed Nov 16 17:37:20 CET 2022","891","","Should open Alquiler page and check","","Should open Alquiler page and check","Top menu each inner dropdown element's text corresponds 'Documentación'","Top menu each inner dropdown element's text corresponds 'Documentación'",""
"passed","Wed Nov 16 17:37:57 CET 2022","Wed Nov 16 17:37:57 CET 2022","201","","Should open App personalizada page and check","","Should open App personalizada page and check","Top social links are displayed","Top social links are displayed",""
"passed","Wed Nov 16 17:35:21 CET 2022","Wed Nov 16 17:35:21 CET 2022","115","","Should open Albumes page and check","","Should open Albumes page and check","Top menu each inner dropdown element's text corresponds 'Alquiler Instalaciones'","Top menu each inner dropdown element's text corresponds 'Alquiler Instalaciones'",""
"passed","Wed Nov 16 17:35:50 CET 2022","Wed Nov 16 17:35:50 CET 2022","55","","Should open Albumes page and check","","Should open Albumes page and check","Footer links text corresponds 'Protección de datos | '","Footer links text corresponds 'Protección de datos | '",""
"failed","Wed Nov 16 17:37:43 CET 2022","Wed Nov 16 17:37:44 CET 2022","983","","Should open App personalizada page and check","","Should open App personalizada page and check","Top menu each inner dropdown element's text corresponds 'Protocolo'","Top menu each inner dropdown element's text corresponds 'Protocolo'",""
"passed","Wed Nov 16 17:37:06 CET 2022","Wed Nov 16 17:37:06 CET 2022","79","","Should open Alquiler page and check","","Should open Alquiler page and check","Top menu each inner dropdown element's text corresponds 'Partidos'","Top menu each inner dropdown element's text corresponds 'Partidos'",""
"passed","Wed Nov 16 17:35:20 CET 2022","Wed Nov 16 17:35:20 CET 2022","88","","Should open Albumes page and check","","Should open Albumes page and check","Top menu each inner dropdown element's text corresponds 'Patrocinadores'","Top menu each inner dropdown element's text corresponds 'Patrocinadores'",""
"failed","Wed Nov 16 17:35:39 CET 2022","Wed Nov 16 17:35:41 CET 2022","1872","","Should open Albumes page and check","","Should open Albumes page and check","Top menu each inner dropdown element's text corresponds 'Álbumes'","Top menu each inner dropdown element's text corresponds 'Álbumes'",""
"passed","Wed Nov 16 17:37:20 CET 2022","Wed Nov 16 17:37:21 CET 2022","80","","Should open Alquiler page and check","","Should open Alquiler page and check","Main text each element's text corresponds '- 2 Campos de césped artificial para '","Main text each element's text corresponds '- 2 Campos de césped artificial para '",""
"failed","Wed Nov 16 17:35:38 CET 2022","Wed Nov 16 17:35:39 CET 2022","1778","","Should open Albumes page and check","","Should open Albumes page and check","Top menu each inner dropdown element's text corresponds 'Fotos'","Top menu each inner dropdown element's text corresponds 'Fotos'",""
"passed","Wed Nov 16 17:36:10 CET 2022","Wed Nov 16 17:36:10 CET 2022","55","","Should open App personalizada page and check","","Should open App personalizada page and check","Top menu each element's text corresponds 'Secciones'","Top menu each element's text corresponds 'Secciones'",""
"passed","Wed Nov 16 17:37:57 CET 2022","Wed Nov 16 17:37:57 CET 2022","48","","Should open App personalizada page and check","","Should open App personalizada page and check","Top social links number of elements","Top social links number of elements",""
"passed","Wed Nov 16 17:37:22 CET 2022","Wed Nov 16 17:37:22 CET 2022","53","","Should open Alquiler page and check","","Should open Alquiler page and check","Main text bold each element's text corresponds 'Domingo'","Main text bold each element's text corresponds 'Domingo'",""
"passed","Wed Nov 16 17:35:50 CET 2022","Wed Nov 16 17:35:50 CET 2022","53","","Should open Albumes page and check","","Should open Albumes page and check","Image banners on the Home page href attribute against 'https://play.google.com/store/apps/details?id=io.clupik.chpbenalmadena , https://www.malaga.es/ , https://www.juntadeandalucia.es/turismoydeporte/opencms/'","Image banners on the Home page href attribute against 'https://play.google.com/store/apps/details?id=io.clupik.chpbenalmadena , https://www.malaga.es/ , https://www.juntadeandalucia.es/turismoydeporte/opencms/'",""
"passed","Wed Nov 16 17:35:56 CET 2022","Wed Nov 16 17:36:02 CET 2022","5878","","Should open App personalizada page and check","","Should open App personalizada page and check","Cookies modal is displayed","Cookies modal is displayed",""
"passed","Wed Nov 16 17:33:47 CET 2022","Wed Nov 16 17:33:47 CET 2022","75","","Should open Albumes page and check","","Should open Albumes page and check","Top menu number of elements","Top menu number of elements",""
"passed","Wed Nov 16 17:37:21 CET 2022","Wed Nov 16 17:37:21 CET 2022","138","","Should open Alquiler page and check","","Should open Alquiler page and check","Main text each element's text corresponds '- 2 '","Main text each element's text corresponds '- 2 '",""
"passed","Wed Nov 16 17:38:03 CET 2022","Wed Nov 16 17:38:03 CET 2022","59","","Should open App personalizada page and check","","Should open App personalizada page and check","Image banners have attribute 'data-sizes' equal to 'auto'","Image banners have attribute 'data-sizes' equal to 'auto'",""
"passed","Wed Nov 16 17:35:20 CET 2022","Wed Nov 16 17:35:20 CET 2022","88","","Should open Albumes page and check","","Should open Albumes page and check","Top menu each inner dropdown element's text corresponds 'Instalaciones'","Top menu each inner dropdown element's text corresponds 'Instalaciones'",""
"passed","Wed Nov 16 17:33:45 CET 2022","Wed Nov 16 17:33:46 CET 2022","215","","Should open Albumes page and check","","Should open Albumes page and check","Albumes page title ia displayed","Albumes page title ia displayed",""
"passed","Wed Nov 16 17:37:21 CET 2022","Wed Nov 16 17:37:21 CET 2022","64","","Should open Alquiler page and check","","Should open Alquiler page and check","Main text each element's text corresponds '608 38 90 91'","Main text each element's text corresponds '608 38 90 91'",""
"passed","Wed Nov 16 17:33:46 CET 2022","Wed Nov 16 17:33:46 CET 2022","57","","Should open Albumes page and check","","Should open Albumes page and check","Home page club logotype is displayed","Home page club logotype is displayed",""
"passed","Wed Nov 16 17:37:22 CET 2022","Wed Nov 16 17:37:22 CET 2022","55","","Should open Alquiler page and check","","Should open Alquiler page and check","Main text bold each element's text corresponds 'Campo de césped artificial 30x20 m.'","Main text bold each element's text corresponds 'Campo de césped artificial 30x20 m.'",""
"passed","Wed Nov 16 17:37:23 CET 2022","Wed Nov 16 17:37:23 CET 2022","53","","Should open Alquiler page and check","","Should open Alquiler page and check","Image banners on the Home page href attribute against 'https://play.google.com/store/apps/details?id=io.clupik.chpbenalmadena , https://www.malaga.es/ , https://www.juntadeandalucia.es/turismoydeporte/opencms/'","Image banners on the Home page href attribute against 'https://play.google.com/store/apps/details?id=io.clupik.chpbenalmadena , https://www.malaga.es/ , https://www.juntadeandalucia.es/turismoydeporte/opencms/'",""
"passed","Wed Nov 16 17:35:49 CET 2022","Wed Nov 16 17:35:50 CET 2022","1031","","Should open Albumes page and check","","Should open Albumes page and check","Main content links are displayed","Main content links are displayed",""
"failed","Wed Nov 16 17:35:43 CET 2022","Wed Nov 16 17:35:45 CET 2022","1798","","Should open Albumes page and check","","Should open Albumes page and check","Top menu each inner dropdown element's text corresponds 'Inscripciones'","Top menu each inner dropdown element's text corresponds 'Inscripciones'",""
"failed","Wed Nov 16 17:37:15 CET 2022","Wed Nov 16 17:37:16 CET 2022","915","","Should open Alquiler page and check","","Should open Alquiler page and check","Top menu each inner dropdown element's text corresponds 'Álbumes'","Top menu each inner dropdown element's text corresponds 'Álbumes'",""
"passed","Wed Nov 16 17:37:42 CET 2022","Wed Nov 16 17:37:42 CET 2022","79","","Should open App personalizada page and check","","Should open App personalizada page and check","Top menu each inner dropdown element's text corresponds 'Hockey'","Top menu each inner dropdown element's text corresponds 'Hockey'",""
"passed","Wed Nov 16 17:36:09 CET 2022","Wed Nov 16 17:36:09 CET 2022","63","","Should open App personalizada page and check","","Should open App personalizada page and check","Top menu number of elements","Top menu number of elements",""
"failed","Wed Nov 16 17:35:34 CET 2022","Wed Nov 16 17:37:05 CET 2022","90986","","Should open Alquiler page and check","","Should open Alquiler page and check","Top menu number of inner elements","Top menu number of inner elements",""
"passed","Wed Nov 16 17:35:50 CET 2022","Wed Nov 16 17:35:50 CET 2022","69","","Should open Albumes page and check","","Should open Albumes page and check","Footer links text corresponds 'Club de Hockey Benalmádena'","Footer links text corresponds 'Club de Hockey Benalmádena'",""
"passed","Wed Nov 16 17:35:33 CET 2022","Wed Nov 16 17:35:33 CET 2022","52","","Should open Alquiler page and check","","Should open Alquiler page and check","Home page club logotype is displayed","Home page club logotype is displayed",""
"passed","Wed Nov 16 17:36:09 CET 2022","Wed Nov 16 17:36:09 CET 2022","116","","Should open App personalizada page and check","","Should open App personalizada page and check","App personalizada page title is Comunicación directa","App personalizada page title is Comunicación directa",""
"passed","Wed Nov 16 17:37:57 CET 2022","Wed Nov 16 17:37:58 CET 2022","68","","Should open App personalizada page and check","","Should open App personalizada page and check","Top social links href attribute against 'https://twitter.com/CHBenalmadena , https://www.facebook.com/CHBenalmadena , https://www.instagram.com/chbenalmadena/ , https://www.youtube.com/c/ClubHockeyBenalmadena'","Top social links href attribute against 'https://twitter.com/CHBenalmadena , https://www.facebook.com/CHBenalmadena , https://www.instagram.com/chbenalmadena/ , https://www.youtube.com/c/ClubHockeyBenalmadena'",""
"passed","Wed Nov 16 17:35:33 CET 2022","Wed Nov 16 17:35:33 CET 2022","84","","Should open Alquiler page and check","","Should open Alquiler page and check","Top menu each element's text corresponds 'Secciones'","Top menu each element's text corresponds 'Secciones'",""
"failed","Wed Nov 16 17:37:46 CET 2022","Wed Nov 16 17:37:46 CET 2022","943","","Should open App personalizada page and check","","Should open App personalizada page and check","Top menu each inner dropdown element's text corresponds '1ª División Femenina'","Top menu each inner dropdown element's text corresponds '1ª División Femenina'",""
"passed","Wed Nov 16 17:37:05 CET 2022","Wed Nov 16 17:37:05 CET 2022","74","","Should open Alquiler page and check","","Should open Alquiler page and check","Top menu each inner dropdown element's text corresponds 'Contacto'","Top menu each inner dropdown element's text corresponds 'Contacto'",""
"failed","Wed Nov 16 17:35:34 CET 2022","Wed Nov 16 17:35:36 CET 2022","1815","","Should open Albumes page and check","","Should open Albumes page and check","Top menu each inner dropdown element's text corresponds 'Máster Mixto'","Top menu each inner dropdown element's text corresponds 'Máster Mixto'",""
"failed","Wed Nov 16 17:37:08 CET 2022","Wed Nov 16 17:37:09 CET 2022","907","","Should open Alquiler page and check","","Should open Alquiler page and check","Top menu each inner dropdown element's text corresponds '1ª División Masculina'","Top menu each inner dropdown element's text corresponds '1ª División Masculina'",""
"passed","Wed Nov 16 17:33:47 CET 2022","Wed Nov 16 17:33:47 CET 2022","57","","Should open Albumes page and check","","Should open Albumes page and check","Top menu each element's text corresponds 'Temporada'","Top menu each element's text corresponds 'Temporada'",""
"passed","Wed Nov 16 17:37:23 CET 2022","Wed Nov 16 17:37:23 CET 2022","137","","Should open Alquiler page and check","","Should open Alquiler page and check","Sponsors list elements have attribute 'data-src' that contains 'https://api.clupik.com/clubs/7671/sponsor/image/'","Sponsors list elements have attribute 'data-src' that contains 'https://api.clupik.com/clubs/7671/sponsor/image/'",""
"failed","Wed Nov 16 17:37:52 CET 2022","Wed Nov 16 17:37:53 CET 2022","1020","","Should open App personalizada page and check","","Should open App personalizada page and check","Top menu each inner dropdown element's text corresponds 'Álbumes'","Top menu each inner dropdown element's text corresponds 'Álbumes'",""
"passed","Wed Nov 16 17:35:11 CET 2022","Wed Nov 16 17:35:15 CET 2022","4673","","Should open https://www.chbenalmadena.com/es and check","","Should open https://www.chbenalmadena.com/es and check","successfull login with valid credentials","successfull login with valid credentials",""
"passed","Wed Nov 16 17:35:33 CET 2022","Wed Nov 16 17:35:33 CET 2022","45","","Should open Alquiler page and check","","Should open Alquiler page and check","Alquiler page title is displayed","Alquiler page title is displayed",""
"passed","Wed Nov 16 17:33:28 CET 2022","Wed Nov 16 17:33:35 CET 2022","7512","","Should open Albumes page and check","","Should open Albumes page and check","Cookies modal is displayed","Cookies modal is displayed",""
"passed","Wed Nov 16 17:37:22 CET 2022","Wed Nov 16 17:37:23 CET 2022","72","","Should open Alquiler page and check","","Should open Alquiler page and check","Image banners on the Home page are displayed","Image banners on the Home page are displayed",""
"passed","Wed Nov 16 17:33:46 CET 2022","Wed Nov 16 17:33:46 CET 2022","120","","Should open Albumes page and check","","Should open Albumes page and check","Albumes page 'Todas las fotos' button text is Todas las fotos","Albumes page 'Todas las fotos' button text is Todas las fotos",""
"passed","Wed Nov 16 17:33:47 CET 2022","Wed Nov 16 17:33:47 CET 2022","66","","Should open Albumes page and check","","Should open Albumes page and check","Top menu each element's text corresponds 'Secciones'","Top menu each element's text corresponds 'Secciones'",""
"passed","Wed Nov 16 17:37:22 CET 2022","Wed Nov 16 17:37:22 CET 2022","276","","Should open Alquiler page and check","","Should open Alquiler page and check","Main content links are displayed","Main content links are displayed",""
"passed","Wed Nov 16 17:36:10 CET 2022","Wed Nov 16 17:36:10 CET 2022","53","","Should open App personalizada page and check","","Should open App personalizada page and check","Top menu each element's text corresponds 'Comunicación'","Top menu each element's text corresponds 'Comunicación'",""
