"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Nov 16 22:35:31 UTC 2022","Wed Nov 16 22:35:31 UTC 2022","45","","Should open Clasificaciones page and check","","Should open Clasificaciones page and check","Top menu each inner dropdown element's text corresponds 'Cadete Femenino'","Top menu each inner dropdown element's text corresponds 'Cadete Femenino'",""
"passed","Wed Nov 16 22:35:29 UTC 2022","Wed Nov 16 22:35:30 UTC 2022","71","","Should open Clasificaciones page and check","","Should open Clasificaciones page and check","Top menu each element's text corresponds 'Secciones'","Top menu each element's text corresponds 'Secciones'",""
"passed","Wed Nov 16 22:35:34 UTC 2022","Wed Nov 16 22:35:34 UTC 2022","37","","Should open Clasificaciones page and check","","Should open Clasificaciones page and check","Equipos dropdown each element text corresponds 'Cadete Masculino'","Equipos dropdown each element text corresponds 'Cadete Masculino'",""
"passed","Wed Nov 16 22:34:32 UTC 2022","Wed Nov 16 22:34:32 UTC 2022","29","","Should open App personalizada page and check","","Should open App personalizada page and check","Sponsor categories each element's text corresponds 'Patrocinadores Oficiales'","Sponsor categories each element's text corresponds 'Patrocinadores Oficiales'",""
"passed","Wed Nov 16 22:34:06 UTC 2022","Wed Nov 16 22:34:06 UTC 2022","37","","Should open Alquiler page and check","","Should open Alquiler page and check","Image banners have attribute 'data-sizes' equal to 'auto'","Image banners have attribute 'data-sizes' equal to 'auto'",""
"passed","Wed Nov 16 22:34:32 UTC 2022","Wed Nov 16 22:34:32 UTC 2022","35","","Should open App personalizada page and check","","Should open App personalizada page and check","Main text bold each element's text corresponds 'Patrocinadores'","Main text bold each element's text corresponds 'Patrocinadores'",""
"passed","Wed Nov 16 22:35:57 UTC 2022","Wed Nov 16 22:35:58 UTC 2022","1505","","Should open Contabilidad Page and check","","Should open Contabilidad Page and check","Contabilidad Page title is displayed","Contabilidad Page title is displayed",""
"passed","Wed Nov 16 22:34:06 UTC 2022","Wed Nov 16 22:34:06 UTC 2022","35","","Should open Alquiler page and check","","Should open Alquiler page and check","Footer links text corresponds 'Condiciones de uso y aviso legal | '","Footer links text corresponds 'Condiciones de uso y aviso legal | '",""
"passed","Wed Nov 16 22:34:05 UTC 2022","Wed Nov 16 22:34:05 UTC 2022","33","","Should open Alquiler page and check","","Should open Alquiler page and check","Main text bold each element's text corresponds 'Horario de apertura'","Main text bold each element's text corresponds 'Horario de apertura'",""
"passed","Wed Nov 16 22:36:44 UTC 2022","Wed Nov 16 22:36:44 UTC 2022","19","","Should open Documentacion Page and check","","Should open Documentacion Page and check","Home page club logotype has attribute 'sizes' equal to '1400px'","Home page club logotype has attribute 'sizes' equal to '1400px'",""
